발화ID,라즈베리파이_원본텍스트,서버_최종_교정본,RAG_매칭여부
42,ホテルの迎え側に、24時間平行をおぶコンビニがあります。,ホテルの迎え側に、24時間営業のコンビニがあります。,RAG매칭
43,この道をずっと進むと、付き当たりに動きな公園が見えます。,この道をずっと進むと、付近の公園が見えます。,RAG매칭
44,階段を登って2階に上がると右手に受け付けがございます。,階段を登って2階に上がると、右手に受け付けがございます。,RAG매칭
45,北口の開札を出てすぐのところに、案内図が設置されています。,北口の開札を出てすぐのところに、案内図が設置されています。,RAG매칭
46,中車上の入り口は、縦物の裏側にございますのでご注意ください。,中車の入り口は、縦物の裏側にございますのでご注意ください。,RAG매칭
47,徒職案に行って勉強しましたが、あまり集中できませんでした。,徒職案に行って勉強しましたが、あまり集中できませんでした。,RAG매칭
48,友達と一緒においしいをずしを食べに行きました。,友達と一緒においしいずしを食べに行きました。,RAG매칭
49,週末に家族と一緒に映画観へ行って、話題の映画を見ました。,週末に家族と一緒に映画を見ました。,RAG매칭
50,先生に質問をしたら、とても親切に教えてくれました。,先生に質問をしたら、とても親切に教えてくれました。,RAG매칭
51,病院の予約が10時なので、急いで行かなければなりません。,病院の予約が10時なので、急いで行かなければなりません。,RAG매칭
52,飛行機のチケットをインターネットで予約しました。,飛行機のチケットをインターネットで予約しました。,RAG매칭
53,機能はたくさんあるいたので、足がとても疲れました。,機能はたくさんあるので、足がとても疲れました。,RAG매칭
54,毎日日本語の単語を50個ずつ覚えるようにしています,毎日日本語の単語を50個ずつ覚えるようにしています,RAG매칭
55,お茶を飲みながら、これからの計画について話し合いました。,お茶を飲みながら、これからの計画について話し合いました。,RAG매칭
56,自転車に乗って近くの公園まで遊びに行きました。,自転車に乗って近くの公園まで遊びに行きました。,RAG매칭
57,東京都局局局長が、今日は新しいプロジェクトを発表しました。,東京都局の長が、今日は新しいプロジェクトを発表しました。,RAG매칭
58,新銀化州の新瞬産村省がまもなく開催されます。,新銀化州の新瞬産村省がまもなく開催されます。,RAG매칭
59,となりの客はよく書きく客だという有名な言葉があります。,となりの客はよく書き手の客だという有名な言葉があります。,RAG매칭
60,坊図が病部に上手に坊図の絵を描いたそうです。,坊図が病部で上手に絵を描いたそうです。,RAG매칭
61,赤パプリカキパプリカをシジョーでたくさん買いました,赤いパプリカをショーでたくさん買いました,RAG매칭
62,バスがすばくはちという言葉を3回続けていうのは難しいです。,バスがすばくはちという言葉を3回続けて言うのは難しいです。,RAG매칭
63,右目右目右目と順番に触る運動をしてください,右目を順番に触る運動をしてください,RAG매칭
64,こつそ少少の予防のために、前に使えるシュームを接種しています。,こっちの少しだけの予防のために、前に使えるシュームを接種しています。,RAG매칭
65,優質工場、優質工率の工場に向けた新しい会議を行います。,新しい優質工場に向けた会議を行います。,RAG매칭
66,あたたかかったから上げを抜いて3本に出かけました,あたたかかったから、上を抜いて3本に出かけました,RAG매칭
67,来週の旅行なんだど、天気が悪そうなら予定を変更した方がいいんじゃない？,来週の旅行が悪そうなら、予定を変更した方がいいんじゃない？,RAG매칭
68,お腹空いたし、近くのレストランで何か温かいものでも食べない？,お腹空いたし、近くのレストランで何か温かいものでも食べない？,RAG매칭
69,明日の約束の時間に遅れそうなら、速攻で連れてって下さい。,明日の約束の時間に遅れそうなら、速攻で連れてって下さい。,RAG매칭
70,最近仕事忙しくてさ、週末ゆっくり休む時間まじでないわ。,最近仕事忙しくてさ、週末ゆっくり休む時間はまじでないわ。,RAG매칭
71,この服デザインはいいけど、ちょっとサイズ小さい気がする。,この服のデザインはいいけど、ちょっとサイズが小さい気がする。,RAG매칭
72,友達の誕生日に何を、何をプレゼントしたらいいか悩んでる。,友達の誕生日に何を、何をプレゼントしたらいいか悩んでる。,RAG매칭
73,映画見に行きたいんだけど、一緒に行く人おらんくて困ってる。,映画見に行きたいんだけど、一緒に行く人いないて困ってる。,RAG매칭
74,日本の文化に興味あるから、いつかきょとに行ってみたい。,日本の文化に興味があるから、いつか日本に旅行したい。,RAG매칭
75,コーヒーを飲みながら、静カフェで本を読むのが好き。,コーヒーを飲みながら、静カフェで本を読むのが好きです。,RAG매칭
76,終電の時間確認しとかないと、帰れなくなるかも。,終電の時間確認しとかないと、帰れなくなるかも。,RAG매칭
77,明日の会議は午後さんじはんからに変更になったので。,明日の会議は午後三時からに変更になりました。,RAG매칭
78,提出期限は今週の金曜日の午後五時までととなっております。,提出期限は今週の金曜日の午後五時までととなっております。,RAG매칭
79,今回のぽろじぇくとの予算案、今日中に確認してメールして。,今回のポロジェクトの予算案、今日中に確認してメールします。,RAG매칭
80,資料の作成が終わったら、一回チェックして下さい。,資料の作成が終わったら、一回チェックして下さい。,RAG매칭
81,来月のスケジュール、調整が必要なとこあります。,来月のスケジュール、調整が必要なところあります。,RAG매칭
82,お手数かけますが、こっちの書類にサインお願いします。,お手数ですが、こっちの書類にサインをお願いします。,RAG매칭
83,駅から会社までは歩いてじゅうごふんくらいかかります。,駅から会社までは歩いてじゅうごふんくらいかかります。,RAG매칭
84,さっき送ったメールのてんぷふぁいる見てください。,さっき送ったメールのテンプファイルを見てください。,RAG매칭
85,本日の営業時間は午後八時で終了しました。,本日の営業時間は午後八時で終了しました。,RAG매칭
86,新しいくらいあんととの打ち合わせは来週の水曜。,新しいくらいのあんととの打ち合わせは来週の水曜日です。,RAG매칭
87,ここをますぐ行って、二つ目の交差点を右に曲がると。,ここをすぐ行って、二つ目の交差点を右に曲がると。,RAG매칭
88,横断歩道に渡ってから、左側に大きなビルが見えます。,横断歩道に渡ってから、左側に大きなビルが見えます。,RAG매칭
89,しんじゅくえきの東口を出て、五分ほど歩いたとこ。,しんじゅくえきの東口を出て、五分ほど歩いたところ。,RAG매칭
90,そのビルの地下にあるきさてんは、とても雰囲気が良い。,そのビルの地下にあるきさてんは、とても雰囲気が良い。,RAG매칭
91,信号を渡らないで、手前の角を左に曲がって。,信号を渡らないで、手前の角を左に曲がって。,RAG매칭
92,ホテルの向かい側に、にじゅうよんじ営業のコンビニがある。,ホテルの向かい側に、にじゅうよんじ営業のコンビニがある。,RAG매칭
93,この道をずーーっと進むと、突き当たりに公園が見える。,この道をずーーっと進むと、突き当たりに公園が見える。,RAG매칭
94,階段上がって二階に行くと、右側が受付です。,階段上がって二階に行くと、右側が受付です。,RAG매칭
95,北口の改札を出てすぐのところに、マップがあります。,北口の改札を出てすぐのところに、マップがあります。,RAG매칭
96,駐車場の入り口は、建物の裏側にありますので。,駐車場の入り口は、建物の裏側にありますので。,RAG매칭
97,としょかんに行って勉強したけど、集中できなかった。,としょかんに行って勉強したけど、集中できなかった。,RAG매칭
98,友達と一緒に美味しいおすしを食べに行った。,友達と一緒に美味しいおすしを食べに行った。,RAG매칭
99,週末に家族とえいがかんに行って映画を見た。,週末に家族とえいがかんに行って映画を見た。,RAG매칭
100,先生に質問したら、親切に教えてくれた。,先生に質問したら、親切に教えてくれた。,RAG매칭
101,びょういんの予約が十時だから、急いで行かないと。,びょういんの予約が十時だから、急いで行かないと。,RAG매칭
102,飛行機のチケットをいんたーねっとで予約した。,飛行機のチケットをいんたーねっとで予約した。,RAG매칭
103,昨日はたくさん歩いたから、足が疲れた。,昨日はたくさん歩いたから、足が疲れた。,RAG매칭
104,毎日日本語の単語を五個ずつずつ覚えるようにしてる。,毎日日本語の単語を五個ずつ覚えるようにしてる。,RAG매칭
105,お茶を飲みながら、これからの計画について話した。,お茶を飲みながら、これからの計画について話した。,RAG매칭
106,じてんしゃに乗って近くの公園まで行った。,じてんしゃに乗って近くの公園まで行った。,RAG매칭
107,東京特許許可局のこうちょうが、新しいプロジェクトを発表した。,東京特許許可局のこうちょうが、新しいプロジェクトを発表した。,RAG매칭
108,新人歌手の新春しゃんそんそーが、まもなく始まる。,新しく歌手になった新春しゃんそんそーが、まもなく始まる。,RAG매칭
109,隣の客はよく柿食う客だってさ。,隣の客はよく柿を食う客だってさ。,RAG매칭
110,坊主が屏風にうまく坊主の絵を描いた。,坊主が屏風にうまく坊主の絵を描いた。,RAG매칭
111,黄パプリカ赤パプリカ青パプリカをたくさん買った。,黄パプリカ赤パプリカ青パプリカをたくさん買った。,RAG매칭
112,ばすがすばくはつって三回言うの難しい。,バスがすばくはつって三回言うのは難しい。,RAG매칭
113,右目、みじみみ、右目と順番に触って。,右目、みじみみ、右目と順番に触って。,RAG매칭
114,こつそしょうしょうのために、毎日カルシウム飲んでる。,こつそしょうしょうのために、毎日カルシウムを飲んでいます。,RAG매칭
115,ゆしゅつこうじょうの効率向上のための会議。,ゆしゅつこうじょうの効率向上のための会議。,RAG매칭
116,あったかかったから上着脱いで散歩行った。,あったかかったから上着を脱いで散歩に行った。,RAG매칭
117,来週の旅行なんですけど、天気が悪そうなら予定を変更した方がいいんじゃないですか。,来週の旅行なんですけど、天気が悪そうなら予定を変更した方がいいんじゃないですか。,RAG매칭
118,おなかがすいたので、近くのレストランで何かあたたかいものでも食べませんか。,おなかがすいたので、近くのレストランで何かあたたかいものでも食べませんか。,RAG매칭
119,明日の役底の時間におくれそうだったら、できるだけ早く連絡してください。,明日の役底の時間におくれそうだったら、できるだけ早く連絡してください。,RAG매칭
120,最近仕事が忙しくて、週末にゆっくり休む時間が全然ありません。,最近仕事が忙しくて、週末にゆっくり休む時間が全然ありません。,RAG매칭
121,この服はデザインはいいのですが、ちょっとサイズが小さい気がします。,この服のデザインはいいのですが、ちょっとサイズが小さい気がします。,RAG매칭
122,友達の誕生日に何をプレゼントしたら喜んでくれるか悩んでいます。,友達の誕生日に何をプレゼントしたら喜んでくれるか悩んでいます。,RAG매칭
123,映画を見に行きたいのですが、一緒に行く人がいなくて困っています。,映画を見に行きたいのですが、一緒に行く人がいなくて困っています。,RAG매칭
124,日本の文化に興味があるので、いつかきょうとに行ってみたいです。,日本の文化に興味があるので、いつかきょうとに行ってみたいです。,RAG매칭
125,コーヒーを飲みながら、静かなカフェで本を読むのが好きです。,コーヒーを飲みながら、静かなカフェで本を読むのが好きです。,RAG매칭
126,集電の時間を確認しておかないと、変えれなくなるかもしれません。,集電の時間を確認しておかないと、変えることができなくなるかもしれません。,RAG매칭
127,明日の会議は午後3時半からに変更になりましたのでご注意ください,明日の会議は午後3時半からに変更になりましたのでご注意ください,RAG매칭
128,提出期限は今週の金曜日の午後5時までとなっております,提出期限は今週の金曜日の午後5時までとなっております,RAG매칭
129,今回のプロジェクトの予算案を、共重に確認してメールで送ってください。,今回のプロジェクトの予算案を、共に確認してメールで送ってください。,RAG매칭
130,資料の作成が終わりましたら、一度チェックをお願い致します。,資料の作成が終わりましたら、一度チェックをお願いいたします。,RAG매칭
131,来月のスケジュールについて、調整が必要な部分があります。,来月のスケジュールについて、調整が必要な部分があります。,RAG매칭
132,お手数をおかけしますが、こちらの処理にサインをお願いします。,お手数をおかけしますが、こちらの処理にサインをお願いします。,RAG매칭
133,駅から回車までは歩いて15分ほどかかります,駅から回車までは歩いて15分ほどかかります,RAG매칭
134,先ほどお送りしたメールイケオンブパイルール、ファジン・ハイ・ジュスティオ,先ほどお送りしたメールのイケオンブパイルール、ファジン・ハイ・ジュスティオ,RAG매칭
135,本日の営業時間は午後8時を持ちまして終了いたしました。,本日の営業時間は午後8時までです。,RAG매칭
136,新しいクライアントとの打ち合わせは来週の水曜日です。,新しいクライアントとの打ち合わせは来週の水曜日です。,RAG매칭
137,ここをまっすぐ行って、2つ目の交差点を右に曲がると駅があります。,ここをまっすぐ行って、2つ目の交差点を右に曲がると駅があります。,RAG매칭
138,オーダンホードを渡ってから左側に大きなビルが見えてきます。,オーダンホードを渡ってから左側に大きなビルが見えてきます。,RAG매칭
139,新宿平均の東口を出て、5分ほど歩いたところにあります。,新宿の東口を出て、5分ほど歩いたところにあります。,RAG매칭
140,そのびるの近に歩きさ点は、とても吹息が良いです。,その近くで歩き始めるのは、とても風が良いです。,RAG매칭
141,信号を当たらずに、手前のつの左に曲がってください。,信号を渡らず、手前の左に曲がってください。,RAG매칭
142,ホテルの迎え側に、24時間平行をおぶコンビニがあります。,ホテルの迎え側に、24時間営業のコンビニがあります。,RAG매칭
143,この道をずっと進むと、付き当たりに動きな公園が見えます。,この道をずっと進むと、付近の公園が見えます。,RAG매칭
144,階段を登って2階に上がると右手に受け付けがございます。,階段を登って2階に上がると、右手に受け付けがございます。,RAG매칭
145,北口の開札を出てすぐのところに、案内図が設置されています。,北口の開札を出てすぐのところに、案内図が設置されています。,RAG매칭
146,中車上の入り口は、縦物の裏側にございますのでご注意ください。,中車の入り口は、縦物の裏側にございますのでご注意ください。,RAG매칭
147,徒職案に行って勉強しましたが、あまり集中できませんでした。,徒職案に行って勉強しましたが、あまり集中できませんでした。,RAG매칭
148,友達と一緒においしいをずしを食べに行きました。,友達と一緒においしいずしを食べに行きました。,RAG매칭
149,週末に家族と一緒に映画観へ行って、話題の映画を見ました。,週末に家族と一緒に映画を見ました。,RAG매칭
150,先生に質問をしたら、とても親切に教えてくれました。,先生に質問をしたら、とても親切に教えてくれました。,RAG매칭
151,病院の予約が10時なので、急いで行かなければなりません。,病院の予約が10時なので、急いで行かなければなりません。,RAG매칭
152,飛行機のチケットをインターネットで予約しました。,飛行機のチケットをインターネットで予約しました。,RAG매칭
153,機能はたくさんあるいたので、足がとても疲れました。,機能はたくさんあるので、足がとても疲れました。,RAG매칭
154,毎日日本語の単語を50個ずつ覚えるようにしています,毎日日本語の単語を50個ずつ覚えるようにしています,RAG매칭
155,お茶を飲みながら、これからの計画について話し合いました。,お茶を飲みながら、これからの計画について話し合いました。,RAG매칭
156,自転車に乗って近くの公園まで遊びに行きました。,自転車に乗って近くの公園まで遊びに行きました。,RAG매칭
157,東京都局局局長が、今日は新しいプロジェクトを発表しました。,東京都局の長が、今日、新しいプロジェクトを発表しました。,RAG매칭
158,新銀化州の新瞬産村省がまもなく開催されます。,新銀化州の新瞬産村省がまもなく開催されます。,RAG매칭
159,となりの客はよく書きく客だという有名な言葉があります。,となりの客はよく書き手の客だという有名な言葉があります。,RAG매칭
160,坊図が病部に上手に坊図の絵を描いたそうです。,坊図が病部で上手に絵を描いたそうです。,RAG매칭
161,赤パプリカキパプリカをシジョーでたくさん買いました,赤いパプリカをシジョーでたくさん買いました,RAG매칭
162,バスがすばくはちという言葉を3回続けていうのは難しいです。,バスが「すばくはち」という言葉を3回続けて言うのは難しいです。,RAG매칭
163,右目右目右目と順番に触る運動をしてください,右目を右目を右目を順番に触る運動をしてください,RAG매칭
164,こつそ少少の予防のために、前に使えるシュームを接種しています。,こつそ少少の予防のために、前に使えるシュームを接種しています。,RAG매칭
165,優質工場、優質工率の工場に向けた新しい会議を行います。,新しい優質工場に向けた会議を行います。,RAG매칭
166,あたたかかったから上げを抜いて3本に出かけました,あたたかかったから、上を抜いて3本に出かけました,RAG매칭
167,来週の旅行なんだど、天気が悪そうなら予定を変更した方がいいんじゃない？,来週の旅行が悪そうなら、予定を変更した方がいいんじゃない？,RAG매칭
168,お腹空いたし、近くのレストランで何か温かいものでも食べない？,お腹空いたし、近くのレストランで何か温かいものでも食べない？,RAG매칭
169,明日の約束の時間に遅れそうなら、速攻で連れてって下さい。,明日の約束の時間に遅れそうなら、速攻で連れてって下さい。,RAG매칭
170,最近仕事忙しくてさ、週末ゆっくり休む時間まじでないわ。,最近仕事忙しくてさ、週末ゆっくり休む時間はまじでないわ。,RAG매칭
171,この服デザインはいいけど、ちょっとサイズ小さい気がする。,この服のデザインはいいけど、ちょっとサイズが小さい気がする。,RAG매칭
172,友達の誕生日に何を、何をプレゼントしたらいいか悩んでる。,友達の誕生日に何を、何をプレゼントしたらいいか悩んでる。,RAG매칭
173,映画見に行きたいんだけど、一緒に行く人おらんくて困ってる。,映画見に行きたいんだけど、一緒に行ける人いないんだけど困ってる。,RAG매칭
174,日本の文化に興味あるから、いつかきょとに行ってみたい。,日本の文化に興味あるから、いつか日本に旅行したい。,RAG매칭
175,コーヒーを飲みながら、静カフェで本を読むのが好き。,コーヒーを飲みながら、静カフェで本を読むのが好きです。,RAG매칭
176,終電の時間確認しとかないと、帰れなくなるかも。,終電の時間確認しとかないと、帰れなくなるかも。,RAG매칭
177,明日の会議は午後さんじはんからに変更になったので。,明日の会議は午後三時からに変更になりました。,RAG매칭
178,提出期限は今週の金曜日の午後五時までととなっております。,提出期限は今週の金曜日の午後五時までととなっております。,RAG매칭
179,今回のぽろじぇくとの予算案、今日中に確認してメールして。,今回のポロジェクトの予算案、今日中に確認してメールします。,RAG매칭
180,資料の作成が終わったら、一回チェックして下さい。,資料の作成が終わったら、一回チェックして下さい。,RAG매칭
181,来月のスケジュール、調整が必要なとこあります。,来月のスケジュール、調整が必要なところがあります。,RAG매칭
182,お手数かけますが、こっちの書類にサインお願いします。,お手数ですが、こっちの書類にサインをお願いします。,RAG매칭
183,駅から会社までは歩いてじゅうごふんくらいかかります。,駅から会社までは歩いてじゅうごふんくらいかかります。,RAG매칭
184,さっき送ったメールのてんぷふぁいる見てください。,さっき送ったメールのテンプレートをみてください。,RAG매칭
185,本日の営業時間は午後八時で終了しました。,本日の営業時間は午後八時で終了しました。,RAG매칭
186,新しいくらいあんととの打ち合わせは来週の水曜。,新しいくらいのあんととの打ち合わせは来週の水曜日です。,RAG매칭
187,ここをますぐ行って、二つ目の交差点を右に曲がると。,ここをすぐに行って、二つ目の交差点を右に曲がると。,RAG매칭
188,横断歩道に渡ってから、左側に大きなビルが見えます。,横断歩道に渡ってから、左側に大きなビルが見えます。,RAG매칭
189,しんじゅくえきの東口を出て、五分ほど歩いたとこ。,しんじゅくえきの東口を出て、五分ほど歩いたところ。,RAG매칭
190,そのビルの地下にあるきさてんは、とても雰囲気が良い。,そのビルの地下にあるきさてんは、とても雰囲気が良い。,RAG매칭
191,信号を渡らないで、手前の角を左に曲がって。,信号を渡らないで、手前の角を左に曲がって。,RAG매칭
192,ホテルの向かい側に、にじゅうよんじ営業のコンビニがある。,ホテルの向かい側に、にじゅうよんじ営業のコンビニがある。,RAG매칭
193,この道をずーーっと進むと、突き当たりに公園が見える。,この道をずーーっと進むと、突き当たりに公園が見える。,RAG매칭
194,階段上がって二階に行くと、右側が受付です。,階段上がって二階に行くと、右側が受付です。,RAG매칭
195,北口の改札を出てすぐのところに、マップがあります。,北口の改札を出てすぐのところに、マップがあります。,RAG매칭
196,駐車場の入り口は、建物の裏側にありますので。,駐車場の入り口は、建物の裏側にありますので。,RAG매칭
197,としょかんに行って勉強したけど、集中できなかった。,としょかんに行って勉強したけど、集中できなかった。,RAG매칭
198,友達と一緒に美味しいおすしを食べに行った。,友達と一緒に美味しいおすしを食べに行った。,RAG매칭
199,週末に家族とえいがかんに行って映画を見た。,週末に家族とえいがかんに行って映画を見た。,RAG매칭
200,先生に質問したら、親切に教えてくれた。,先生に質問したら、親切に教えてくれた。,RAG매칭
201,びょういんの予約が十時だから、急いで行かないと。,びょういんの予約が十時だから、急いで行かないと。,RAG매칭
202,飛行機のチケットをいんたーねっとで予約した。,飛行機のチケットをいんたーねっとで予約した。,RAG매칭
203,昨日はたくさん歩いたから、足が疲れた。,昨日はたくさん歩いたから、足が疲れた。,RAG매칭
204,毎日日本語の単語を五個ずつずつ覚えるようにしてる。,毎日日本語の単語を五個ずつ覚えるようにしてる。,RAG매칭
205,お茶を飲みながら、これからの計画について話した。,お茶を飲みながら、これからの計画について話した。,RAG매칭
206,じてんしゃに乗って近くの公園まで行った。,じてんしゃに乗って近くの公園まで行った。,RAG매칭
207,東京特許許可局のこうちょうが、新しいプロジェクトを発表した。,東京特許許可局のこうちょうが、新しいプロジェクトを発表した。,RAG매칭
208,新人歌手の新春しゃんそんそーが、まもなく始まる。,新しく歌手になった新春しゃんそんそーが、まもなく始まる。,RAG매칭
209,隣の客はよく柿食う客だってさ。,隣の客はよく柿を食う客だってさ。,RAG매칭
210,坊主が屏風にうまく坊主の絵を描いた。,坊主が屏風にうまく坊主の絵を描いた。,RAG매칭
211,黄パプリカ赤パプリカ青パプリカをたくさん買った。,黄パプリカ赤パプリカ青パプリカをたくさん買った。,RAG매칭
212,ばすがすばくはつって三回言うの難しい。,ばすがすばくはつって三回言うのは難しい。,RAG매칭
213,右目、みじみみ、右目と順番に触って。,右目、みじみみ、右目と順番に触れることにします。,RAG매칭
214,こつそしょうしょうのために、毎日カルシウム飲んでる。,こつそしょうしょうのために、毎日カルシウムを飲んでいます。,RAG매칭
215,ゆしゅつこうじょうの効率向上のための会議。,ゆしゅつこうじょうの効率向上のための会議,RAG매칭
216,あったかかったから上着脱いで散歩行った。,あったかかったから上着を脱いで散歩に行った。,RAG매칭
217,来週の旅行なんですけど、天気が悪そうなら予定を変更した方がいいんじゃないですか。,来週の旅行なんですけど、天気が悪そうなら予定を変更した方がいいんじゃないですか。,RAG매칭
218,お腹が空いたので、近くのレストランで何か温かいものでも食べませんか。,お腹が空いたので、近くのレストランで何か温かいものでも食べませんか。,RAG매칭
219,明日の約束の時間に遅れそうだったら、できるだけ早く連絡してください。,明日の約束の時間に遅れそうだったら、できるだけ早く連絡してください。,RAG매칭
220,最近仕事が忙しくて、週末にゆっくり休む時間が全然ありません。,最近仕事が忙しくて、週末にゆっくり休む時間が全然ありません。,RAG매칭
221,この服はデザインはいいのですが、ちょっとサイズが小さい気がします。,この服のデザインはいいのですが、ちょっとサイズが小さい気がします。,RAG매칭
222,友達の誕生日に何をプレゼントしたら喜んでくれるか悩んでいます。,友達の誕生日に何をプレゼントしたら喜んでくれるか悩んでいます。,RAG매칭
223,映画を見に行きたいのですが、一緒に行く人がいなくて困っています。,映画を見に行きたいのですが、一緒に行く人がいなくて困っています。,RAG매칭
224,日本の文化に興味があるので、いつか京都に行ってみたいです。,日本の文化に興味があるので、いつか京都に行ってみたいです。,RAG매칭
225,コーヒーを飲みながら、静かなカフェで本を読むのが好きです。,コーヒーを飲みながら、静かなカフェで本を読むのが好きです。,RAG매칭
226,終電の時間を確認しておかないと、帰れなくなるかもしれません。,終電の時間を確認しておかないと、帰れなくなるかもしれません。,RAG매칭
227,明日の会議は午後三時半からに変更になりましたのでご注意ください。,明日の会議は午後三時半からに変更になりましたのでご注意ください。,RAG매칭
228,提出期限は今週の金曜日の午後五時までとなっております。,提出期限は今週の金曜日の午後五時までとなっております。,RAG매칭
229,今回のプロジェクトの予算案を、今日中に確認してメールで送ってください。,今回のプロジェクトの予算案を、今日中に確認してメールで送ってください。,RAG매칭
230,資料の作成が終わりましたら、一度チェックをお願いいたします。,資料の作成が終わりましたら、一度チェックをお願いいたします。,RAG매칭
231,来月のスケジュールについて、調整が必要な部分があります。,来月のスケジュールについて、調整が必要な部分があります。,RAG매칭
232,お手数をおかけしますが、こちらの書類にサインをお願いします。,お手数をおかけしますが、こちらの書類にサインをお願いします。,RAG매칭
233,駅から会社までは歩いて十五分ほどかかります。,駅から会社までは歩いて十五分ほどかかります。,RAG매칭
234,先ほどお送りしたメール의 첨부파일을 확인해 주세요.,先ほどお送りしたメールの添付ファイルを確認してください。,RAG매칭
235,本日の営業時間は午後八時をもちまして終了いたしました。,本日の営業時間は午後八時をもちまして終了いたしました。,RAG매칭
236,新しいクライアントとの打ち合わせは来週の水曜日です。,新しいクライアントとの打ち合わせは来週の水曜日です。,RAG매칭
237,ここを真っ直ぐ行って、二つ目の交差点を右に曲がると駅があります。,ここを真っ直ぐ行って、二つ目の交差点を右に曲がると駅があります。,RAG매칭
238,横断歩道を渡ってから、左側に大きなビルが見えてきます。,横断歩道を渡ってから、左側に大きなビルが見えてきます。,RAG매칭
239,新宿駅の東口を出て、五分ほど歩いたところにあります。,新宿駅の東口を出て、五分ほど歩いたところにあります。,RAG매칭
240,そのビルの地下にある喫茶店は、とても雰囲気が良いです。,そのビルの地下にある喫茶店は、とても雰囲気が良いです。,RAG매칭
241,信号を渡らずに、手前の角を左に曲がってください。,信号を渡らずに、手前の角を左に曲がってください。,RAG매칭
