번호,테스트그룹,원본매프텍스트,STT추출값,DB저장결과
41,tts_perfect,東京特許許可局の局長が、今日新しいプロジェクトを発表しました。,東京都局局局長が、今日は新しいプロジェクトを発表しました。,저장성공
42,tts_perfect,新人歌手の新春シャンソンショーが、まもなく開催されます。,新銀化州の新瞬産村省がまもなく開催されます。,저장성공
43,tts_perfect,隣の客はよく柿食う客だという有名な言葉があります。,となりの客はよく書きく客だという有名な言葉があります。,저장성공
44,tts_perfect,坊主が屏風に上手に坊主の絵を描いたそうです。,坊図が病部に上手に坊図の絵を描いたそうです。,저장성공
45,tts_perfect,赤パプリカ黄パプリカ青パプリカを市場でたくさん買いました。,赤パプリカキパプリカをシジョーでたくさん買いました,저장성공
46,tts_perfect,バスガス爆発という言葉を三回続けて言うのは難しいです。,バスがすばくはちという言葉を3回続けていうのは難しいです。,저장성공
47,tts_perfect,右目右耳右耳右目と順番に触る運動をしてください。,右目右目右目と順番に触る運動をしてください,저장성공
48,tts_perfect,骨粗鬆症の予防のために、毎日カルシウムを摂取しています。,こつそ少少の予防のために、前に使えるシュームを接種しています。,저장성공
49,tts_perfect,輸出工場輸出効率の向上に向けた新しい会議を行います。,優質工場、優質工率の工場に向けた新しい会議を行います。,저장성공
50,tts_perfect,暖かかったから上着を脱いで散歩に出かけました。,あたたかかったから上げを抜いて3本に出かけました,저장성공
51,low_skilled,来週の旅行なんだど、天気が悪そうなら予定を変更した方がいいんじゃない？,来週の旅行なんだど、天気が悪そうなら予定を変更した方がいいんじゃない？,저장성공
52,low_skilled,お腹空いたし、近くのレストランで何か温かいものでも食べない？,お腹空いたし、近くのレストランで何か温かいものでも食べない？,저장성공
53,low_skilled,明日の約束の時間に遅れそうなら、速攻で連れてって下さい。,明日の約束の時間に遅れそうなら、速攻で連れてって下さい。,저장성공
54,low_skilled,最近仕事忙しくてさ、週末ゆっくり休む時間まじでないわ。,最近仕事忙しくてさ、週末ゆっくり休む時間まじでないわ。,저장성공
55,low_skilled,この服デザインはいいけど、ちょっとサイズ小さい気がする。,この服デザインはいいけど、ちょっとサイズ小さい気がする。,저장성공
56,low_skilled,友達の誕生日に何を、何をプレゼントしたらいいか悩んでる。,友達の誕生日に何を、何をプレゼントしたらいいか悩んでる。,저장성공
57,low_skilled,映画見に行きたいんだけど、一緒に行く人おらんくて困ってる。,映画見に行きたいんだけど、一緒に行く人おらんくて困ってる。,저장성공
58,low_skilled,日本の文化に興味あるから、いつかきょとに行ってみたい。,日本の文化に興味あるから、いつかきょとに行ってみたい。,저장성공
59,low_skilled,コーヒーを飲みながら、静カフェで本を読むのが好き。,コーヒーを飲みながら、静カフェで本を読むのが好き。,저장성공
60,low_skilled,終電の時間確認しとかないと、帰れなくなるかも。,終電の時間確認しとかないと、帰れなくなるかも。,저장성공
61,low_skilled,明日の会議は午後さんじはんからに変更になったので。,明日の会議は午後さんじはんからに変更になったので。,저장성공
62,low_skilled,提出期限は今週の金曜日の午後五時までととなっております。,提出期限は今週の金曜日の午後五時までととなっております。,저장성공
63,low_skilled,今回のぽろじぇくとの予算案、今日中に確認してメールして。,今回のぽろじぇくとの予算案、今日中に確認してメールして。,저장성공
64,low_skilled,資料の作成が終わったら、一回チェックして下さい。,資料の作成が終わったら、一回チェックして下さい。,저장성공
65,low_skilled,来月のスケジュール、調整が必要なとこあります。,来月のスケジュール、調整が必要なとこあります。,저장성공
66,low_skilled,お手数かけますが、こっちの書類にサインお願いします。,お手数かけますが、こっちの書類にサインお願いします。,저장성공
67,low_skilled,駅から会社までは歩いてじゅうごふんくらいかかります。,駅から会社までは歩いてじゅうごふんくらいかかります。,저장성공
68,low_skilled,さっき送ったメールのてんぷふぁいる見てください。,さっき送ったメールのてんぷふぁいる見てください。,저장성공
69,low_skilled,本日の営業時間は午後八時で終了しました。,本日の営業時間は午後八時で終了しました。,저장성공
70,low_skilled,新しいくらいあんととの打ち合わせは来週の水曜。,新しいくらいあんととの打ち合わせは来週の水曜。,저장성공
71,low_skilled,ここをますぐ行って、二つ目の交差点を右に曲がると。,ここをますぐ行って、二つ目の交差点を右に曲がると。,저장성공
72,low_skilled,横断歩道に渡ってから、左側に大きなビルが見えます。,横断歩道に渡ってから、左側に大きなビルが見えます。,저장성공
73,low_skilled,しんじゅくえきの東口を出て、五分ほど歩いたとこ。,しんじゅくえきの東口を出て、五分ほど歩いたとこ。,저장성공
74,low_skilled,そのビルの地下にあるきさてんは、とても雰囲気が良い。,そのビルの地下にあるきさてんは、とても雰囲気が良い。,저장성공
75,low_skilled,信号を渡らないで、手前の角を左に曲がって。,信号を渡らないで、手前の角を左に曲がって。,저장성공
76,low_skilled,ホテルの向かい側に、にじゅうよんじ営業のコンビニがある。,ホテルの向かい側に、にじゅうよんじ営業のコンビニがある。,저장성공
77,low_skilled,この道をずーーっと進むと、突き当たりに公園が見える。,この道をずーーっと進むと、突き当たりに公園が見える。,저장성공
78,low_skilled,階段上がって二階に行くと、右側が受付です。,階段上がって二階に行くと、右側が受付です。,저장성공
79,low_skilled,北口の改札を出てすぐのところに、マップがあります。,北口の改札を出てすぐのところに、マップがあります。,저장성공
80,low_skilled,駐車場の入り口は、建物の裏側にありますので。,駐車場の入り口は、建物の裏側にありますので。,저장성공
81,low_skilled,としょかんに行って勉強したけど、集中できなかった。,としょかんに行って勉強したけど、集中できなかった。,저장성공
82,low_skilled,友達と一緒に美味しいおすしを食べに行った。,友達と一緒に美味しいおすしを食べに行った。,저장성공
83,low_skilled,週末に家族とえいがかんに行って映画を見た。,週末に家族とえいがかんに行って映画を見た。,저장성공
84,low_skilled,先生に質問したら、親切に教えてくれた。,先生に質問したら、親切に教えてくれた。,저장성공
85,low_skilled,びょういんの予約が十時だから、急いで行かないと。,びょういんの予約が十時だから、急いで行かないと。,저장성공
86,low_skilled,飛行機のチケットをいんたーねっとで予約した。,飛行機のチケットをいんたーねっとで予約した。,저장성공
87,low_skilled,昨日はたくさん歩いたから、足が疲れた。,昨日はたくさん歩いたから、足が疲れた。,저장성공
88,low_skilled,毎日日本語の単語を五個ずつずつ覚えるようにしてる。,毎日日本語の単語を五個ずつずつ覚えるようにしてる。,저장성공
89,low_skilled,お茶を飲みながら、これからの計画について話した。,お茶を飲みながら、これからの計画について話した。,저장성공
90,low_skilled,じてんしゃに乗って近くの公園まで行った。,じてんしゃに乗って近くの公園まで行った。,저장성공
91,low_skilled,東京特許許可局のこうちょうが、新しいプロジェクトを発表した。,東京特許許可局のこうちょうが、新しいプロジェクトを発表した。,저장성공
92,low_skilled,新人歌手の新春しゃんそんそーが、まもなく始まる。,新人歌手の新春しゃんそんそーが、まもなく始まる。,저장성공
93,low_skilled,隣の客はよく柿食う客だってさ。,隣の客はよく柿食う客だってさ。,저장성공
94,low_skilled,坊主が屏風にうまく坊主の絵を描いた。,坊主が屏風にうまく坊主の絵を描いた。,저장성공
95,low_skilled,黄パプリカ赤パプリカ青パプリカをたくさん買った。,黄パプリカ赤パプリカ青パプリカをたくさん買った。,저장성공
96,low_skilled,ばすがすばくはつって三回言うの難しい。,ばすがすばくはつって三回言うの難しい。,저장성공
97,low_skilled,右目、みじみみ、右目と順番に触って。,右目、みじみみ、右目と順番に触って。,저장성공
98,low_skilled,こつそしょうしょうのために、毎日カルシウム飲んでる。,こつそしょうしょうのために、毎日カルシウム飲んでる。,저장성공
99,low_skilled,ゆしゅつこうじょうの効率向上のための会議。,ゆしゅつこうじょうの効率向上のための会議。,저장성공
100,low_skilled,あったかかったから上着脱いで散歩行った。,あったかかったから上着脱いで散歩行った。,저장성공
